#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
1775,ibc tanks fittings,us,4,150,1.4,,,,ibc tote fittings,2020-10-14 21:31:15,"Adwords top,Sitelinks,Image pack,Top stories,Thumbnails,Shopping results",150
1776,supernatural botanicals,us,13,150,,,,,super natural botanicals,2020-10-08 07:47:49,Sitelinks,150
1777,renew hardwood floors,us,22,150,0.9,,,,hardwood floor refinishing,2020-09-20 14:38:32,"Featured snippet,Thumbnails,Top stories,People also ask,Image pack",200
1778,port parking galveston tx,us,59,150,1,,,,galveston cruise parking,2020-10-10 15:41:43,"People also ask,Top stories,Thumbnails",150
1779,botfly florida,us,24,150,,,,,squirrel bot fly,2020-10-13 13:54:41,"Featured snippet,People also ask",150
1780,kanoon instrument,us,1,150,0,76,0.48,1.12,qanun,2020-10-16 17:21:05,Sitelinks,250
1781,smoked ham steak,us,9,150,1,,,,ham steak recipes,2020-09-22 22:07:55,"Top stories,Thumbnails,People also ask",150
1782,thoracic surgeon definition,us,14,150,0.5,47,0.29,1.08,thoracic surgeon,2020-10-07 19:18:29,People also ask,200
1783,true value superstore,us,4,150,0.5,,,,true value,2020-09-29 19:49:45,Image pack,150
1784,marcus carothers,us,0,150,0.1,,,,marcus carothers,2020-09-29 18:55:04,"Top stories,Thumbnails,Image pack",150
1785,dinosaur throw blanket,us,0,150,0.6,,,,dinosaur throw blanket,2020-09-20 11:57:58,Image pack,150
1786,lamo definition,us,3,150,0,18,0.14,1.12,lamo,2020-10-16 16:14:57,"Featured snippet,People also ask",200
1787,jailer's inn,us,1,150,0.5,,,,jailer's inn,2020-09-19 08:47:20,"Sitelinks,Image pack,Adwords bottom",200
1788,victorian mens shoes,us,0,150,1,,,,victorian mens shoes,2020-10-10 14:04:24,"Image pack,People also ask",200
1789,frog themed classroom,us,0,150,0.4,,,,frog themed classroom,2020-09-25 11:00:17,"Shopping results,Thumbnails,Image pack",150
1790,n3h,us,0,150,0,28,0.17,1.12,n3h,2020-10-18 18:21:56,"Featured snippet,People also ask",600
1791,cleburne tax office,us,2,150,0.25,,,,johnson county tax office,2020-10-18 12:17:45,Sitelinks,150
1792,games like thief,us,0,150,0,173,1,1.28,games like thief,2020-10-05 04:19:31,"Top stories,Thumbnails",400
1793,apartments for rent in south shore by owners,us,2,150,0.7,,,,apartments for rent south shore ma,2020-09-21 14:03:14,Image pack,150
1794,cartier infinity ring,us,1,150,1.6,,,,cartier trinity ring,2020-09-27 16:34:36,"Image pack,People also ask,Top stories,Thumbnails",200
1795,champaign county humane society ohio,us,7,150,0.1,,,,champaign county animal welfare league,2020-10-09 17:13:31,Image pack,150
1796,suburban athletic club,us,0,150,1.3,,,,suburban athletic club,2020-10-09 07:50:54,,150
1797,how to pronounce kraken,us,0,150,0,,,,kraken pronunciation,2020-10-16 07:59:06,"People also ask,Top stories,Thumbnails",150
1798,dual zone wine cooler temperatures,us,7,150,3,88,0.58,1.18,white wine temp storage,2020-10-07 09:41:36,"Adwords top,Featured snippet,People also ask,Top stories,Thumbnails,Adwords bottom",150
1799,weekend reading,us,4,150,0,,,,weekend reading,2020-09-27 05:25:27,"Image pack,Top stories,Thumbnails",200
1800,lateral body,us,22,150,0,,,,anatomy directional terms,2020-10-03 00:58:30,"Image pack,People also ask,Top stories,Thumbnails",200
1801,kraft tex paper,us,0,150,0.35,259,1.61,1.22,kraft tex,2020-10-12 02:21:56,"Top stories,Thumbnails,People also ask,Image pack,Adwords bottom",150
1802,de fabulous,us,0,150,0.4,,,,de fabulous,2020-09-19 09:04:50,"Top stories,Thumbnails,Image pack",600
1803,ray ban olympian ii,us,0,150,0.5,,,,ray ban olympian,2020-10-12 03:19:34,"Image pack,Top stories,Thumbnails",250
1804,1 24 scale monster jam trucks,us,0,150,0.3,,,,monster jam 1 24 scale,2020-09-28 10:47:22,"Top stories,Thumbnails,Image pack,Shopping results",150
1805,list of all jedi,us,13,150,0.03,,,,jedi names,2020-10-04 07:20:28,"People also ask,Image pack",200
1806,fram ph8170 oil filter cross reference,us,0,150,0.2,,,,fram ph8170,2020-09-27 04:02:48,Image pack,150
1807,marty's bbq wilson nc,us,1,150,,,,,martys bbq wilson nc,2020-10-07 23:32:25,,150
1808,flight attendant uniforms by airline,us,10,150,0.7,,,,flight attendant uniforms,2020-09-27 02:44:46,"Image pack,People also ask,Top stories,Thumbnails",250
1809,black and white wave logo,us,0,150,0,,,,black and white wave logo,2020-10-02 18:31:05,"Image pack,Adwords bottom",150
1810,diamond tires san rafael,us,0,150,9,,,,diamond tire,2020-10-19 00:58:04,Sitelinks,150
1811,child care enrollment forms,us,19,150,3.5,,,,daycare enrollment form,2020-09-19 08:00:00,Image pack,200
1812,franck muller watches for sale,us,12,150,0.7,,,,franck muller,2020-09-27 17:49:55,"Top stories,Thumbnails",200
1813,peter matz,us,3,150,0.2,117,0.7,1.36,peter matz,2020-09-23 13:41:52,"Image pack,Top stories,Thumbnails",400
1814,is that real vine,us,1,150,,132,0.79,1,is that real vine,2020-10-18 02:39:29,Image pack,150
1815,wyoming antelope outfitters,us,7,150,0.45,,,,pronghorn outfitters,2020-10-17 08:26:25,Sitelinks,150
1816,pig birth,us,2,150,0.06,,,,pigs giving birth,2020-10-08 22:18:30,"Top stories,Thumbnails,People also ask",250
1817,create marketing video,us,71,150,11,,,,marketing video maker,2020-10-02 23:58:17,"Adwords top,Featured snippet,Thumbnails,People also ask",150
1818,douglas wyoming map,us,2,150,0,,,,douglas wyoming map,2020-09-26 16:33:02,"Knowledge card,Thumbnails,Image pack",150
1819,panera bread galleria,us,0,150,0,,,,panera galleria,2020-10-05 10:23:05,Image pack,150
1820,card player poker tour,us,45,150,2,,,,card player poker tour,2020-10-16 08:38:48,"Sitelinks,Image pack",150
1821,romans 15 13 esv,us,8,150,0.01,,,,romans 15:13,2020-10-04 22:48:22,Image pack,150
1822,termidor foam label,us,0,150,0.7,,,,termidor foam label,2020-10-09 06:48:49,,200
1823,fuel injector problems,us,14,150,0.35,146,1,1.09,driving with bad fuel injector,2020-10-17 19:00:56,"Featured snippet,People also ask,Sitelinks",500
1824,strspn c,us,3,150,0,,,,strspn,2020-09-19 20:52:29,"Top stories,Thumbnails",200
1825,events in germany,us,6,150,0.7,,,,german festivals,2020-10-19 05:54:38,"People also ask,Sitelinks",400
1826,stiphodon atropurpureus,us,1,150,0,107,0.72,1.58,stiphodon atropurpureus,2020-10-16 22:06:01,"Sitelinks,Image pack",500
1827,dresser top tray,us,0,150,1.3,,,,dresser top tray,2020-10-03 09:50:34,"Image pack,Top stories,Thumbnails",150
1828,fortnite buy account,us,43,150,,,,,fortnite accounts,2020-10-10 09:02:05,"Top stories,Thumbnails,Adwords bottom",250
1829,fiesta st tires,us,0,150,1.2,,,,fiesta st tires,2020-10-15 11:25:47,"Sitelinks,Top stories,Thumbnails,People also ask",150
1830,jessica biel justin,us,28,150,0,,,,justin timberlake and jessica biel,2020-10-19 14:58:12,People also ask,350
1831,another word for tainted,us,2,150,0,,,,tainted synonym,2020-09-28 04:41:50,"Knowledge card,People also ask,Image pack",200
1832,tj maxx gifts,us,10,150,0.9,,,,tj maxx gifts,2020-09-20 13:46:01,"People also ask,Image pack",150
1833,casual dress design,us,0,150,1.8,,,,casual dress design,2020-09-22 10:21:57,"Image pack,Top stories,Thumbnails",800
1834,teenage mutant ninja turtles nickelodeon cast,us,29,150,0,,,,teenage mutant ninja turtles cartoon cast,2020-10-07 11:55:17,"Top stories,Thumbnails,People also ask,Image pack",200
1835,is silver a good investment for the future,us,21,150,9,,,,is silver a good investment,2020-09-26 14:49:40,"Featured snippet,People also ask,Top stories,Thumbnails,Adwords bottom",200
1836,taco svg free,us,0,150,,,,,taco svg,2020-10-11 13:59:22,Image pack,150
1837,apple pie oven temp,us,48,150,0,,,,how long to bake apple pie,2020-09-24 04:44:58,"Top stories,Thumbnails,People also ask",150
1838,apartamentos en barcelona,us,2,150,2,,,,apartamentos en barcelona,2020-10-05 18:48:31,Adwords top,1800
1839,staffing agencies in bolingbrook il,us,1,150,2,,,,staffing agencies in bolingbrook il,2020-10-18 21:46:20,Adwords top,150
1840,fuel trophy,us,0,150,0.4,91,0.56,1.26,fuel trophy wheels,2020-09-29 19:30:09,"Image pack,Top stories,Thumbnails",250
1841,edd form de 2501,us,5,150,0.7,,,,de 2501,2020-09-19 00:24:05,"People also ask,Image pack",150
1842,acrylic acid polymer,us,6,150,4.5,90,0.61,1.05,polyacrylic acid,2020-10-08 15:20:54,"People also ask,Top stories,Thumbnails",250
1843,reed egan funeral home,us,0,150,1.4,,,,reed egan,2020-10-18 21:48:45,"Sitelinks,Image pack",150
1844,custom trick scooters,us,26,150,0.35,,,,pro scooters,2020-10-03 17:44:18,"Top stories,Thumbnails,Image pack",200
1845,who sang ramblin man,us,1,150,0,,,,allman brothers ramblin man,2020-10-13 13:27:22,"People also ask,Top stories,Thumbnails",150
1846,ground beef stroganoff cream of mushroom,us,31,150,0.7,,,,ground beef stroganoff,2020-10-17 13:33:32,"Top stories,Thumbnails",200
1847,miramar sports complex,us,1,150,,,,,miramar gym,2020-09-19 10:18:16,"Top stories,Thumbnails,Image pack",150
1848,lexus suv models 2019,us,25,150,,,,,lexus suv,2020-10-17 05:25:41,"Sitelinks,People also ask,Image pack,Adwords bottom",150
1849,amethyst cluster for sale,us,1,150,0.3,,,,amethyst cluster for sale,2020-09-23 13:23:47,"People also ask,Top stories,Thumbnails,Image pack,Shopping results",150
1850,biastophilia definition,us,2,150,0,32,0.22,1.09,what is biastophilia,2020-09-20 08:26:12,Featured snippet,200
1851,jimmy page stratocaster,us,8,150,0.15,,,,jimmy page les paul,2020-09-25 16:19:35,"Image pack,People also ask,Top stories,Thumbnails",200
1852,milbury real estate,us,1,150,0,,,,milbury real estate,2020-10-05 05:49:26,"Sitelinks,Image pack",150
1853,zcash mining pool,us,26,150,0.45,209,1.34,1.22,zcash pool,2020-10-04 04:49:34,"Top stories,Thumbnails",1700
1854,craigslist kids,us,0,150,,,,,craigslist baby,2020-09-22 17:58:14,"Top stories,Thumbnails",150
1855,miami lakes mayor,us,0,150,,,,,manny cid,2020-09-26 13:04:19,"Knowledge card,People also ask,Top stories,Thumbnails,Image pack",150
1856,cool chest,us,0,150,0.45,49,0.38,1.04,chill chest reviews,2020-10-06 21:26:57,"Top stories,Thumbnails,People also ask",200
1857,best baked cheesecake recipe,us,38,150,,,,,cheesecake recipe,2020-10-09 14:20:32,"Top stories,Thumbnails,People also ask,Image pack",700
1858,medical records fee,us,13,150,0.2,,,,medical records copying fees 2018,2020-10-10 08:43:10,"Featured snippet,People also ask",150
1859,mazda 6 front bumper,us,0,150,0.5,,,,mazda 6 front bumper,2020-09-18 18:23:28,"Top stories,Thumbnails,Image pack",250
1860,phantom of the opera broadway tour,us,27,150,1.3,,,,phantom of the opera tour,2020-09-25 01:15:25,"People also ask,Top stories,Thumbnails",150
1861,science museum free days,us,44,150,2.5,,,,houston museum district,2020-09-24 23:26:00,"Adwords top,People also ask",150
1862,leonard skinner freebird,us,10,150,0,,,,free bird,2020-10-13 16:12:48,"Thumbnails,Top stories,People also ask,Image pack",250
1863,town stock,us,12,150,0,,,,towne bank stock price,2020-10-17 21:28:33,Knowledge card,150
1864,letterpress types,us,14,150,0.3,,,,letterpress types,2020-10-02 09:42:42,"Featured snippet,People also ask,Image pack,Top stories,Thumbnails",150
1865,amazon karaoke system,us,4,150,0.5,,,,karaoke system,2020-10-11 14:24:03,"People also ask,Image pack",200
1866,tucker atlanta,us,6,150,,,,,tucker georgia,2020-09-26 20:31:54,"People also ask,Top stories,Thumbnails,Image pack",150
1867,sacramento country day,us,2,150,0,,,,country day school,2020-10-08 05:35:23,"Top stories,Thumbnails",150
1868,is 5 3 bank open today,us,15,150,1.4,,,,5 3 bank open today,2020-10-18 07:50:07,People also ask,150
1869,big apple strat,us,0,150,0.25,199,1.21,1.09,big apple strat,2020-10-03 22:27:47,"Image pack,Top stories,Thumbnails",150
1870,kid rock homes,us,7,150,,,,,kid rock homes,2020-10-08 11:52:21,"Featured snippet,People also ask",150
1871,custom bakery packaging,us,16,150,3,180,1.35,1.1,custom bakery packaging,2020-10-13 01:09:49,Image pack,150
1872,en nombre del amor pelicula,us,0,150,0,,,,en nombre del amor pelicula,2020-10-18 11:10:00,Sitelinks,5400
1873,molecular weight of glycine,us,8,150,,3,0.02,1.15,glycine,2020-10-05 14:48:38,"People also ask,Image pack",300
1874,us bank kalispell mt,us,0,150,0,,,,us bank kalispell mt,2020-10-13 16:10:41,,150
1875,white camaro for sale,us,17,150,2,,,,camaro for sale,2020-10-19 05:24:18,"Sitelinks,Image pack",150
1876,real madrid jersey 2016/17,us,0,150,,,,,real madrid jersey 2016,2020-10-08 13:55:30,"Top stories,Thumbnails",200
1877,swisher sweets prices at gas stations,us,3,150,3,,,,swisher sweets prices at gas stations,2020-10-10 09:28:05,"People also ask,Top stories,Thumbnails,Image pack",150
1878,sorry pronunciation,us,0,150,,106,0.63,1.13,how to pronounce sorry,2020-10-13 15:30:30,People also ask,250
1879,2001 subaru forester engine,us,0,150,0.35,88,0.55,1.21,2001 subaru forester engine,2020-10-17 03:51:42,"People also ask,Sitelinks",200
1880,brigadoon characters,us,0,150,0,,,,brigadoon characters,2020-09-25 13:59:26,"People also ask,Image pack",150
1881,banana republic in store sale,us,65,150,0.9,,,,banana republic sale,2020-10-07 18:34:12,"People also ask,Adwords bottom",200
1882,earbud repair,us,25,150,0.45,,,,how to fix broken earbuds,2020-09-19 15:49:03,"Featured snippet,Thumbnails,People also ask,Top stories,Image pack",150
1883,media library not loading wordpress,us,1,150,,,,,wordpress images not displaying,2020-10-17 21:14:12,,300
1884,donuts lafayette la,us,0,150,0,,,,donuts lafayette la,2020-09-25 19:43:57,"Top stories,Thumbnails,Image pack",150
1885,why does hunt hate riggs,us,2,150,0,,,,owen and riggs,2020-10-03 01:42:59,"Featured snippet,People also ask,Top stories,Thumbnails",150
1886,weaver turf power,us,0,150,0,,,,weaver turf power,2020-10-12 09:30:30,"Sitelinks,Image pack",150
1887,roger freed,us,5,150,0.09,,,,roger freed,2020-10-10 08:54:23,,150
1888,is burrata pasteurized,us,2,150,,,,,burrata pregnant,2020-10-17 05:07:08,"Featured snippet,Thumbnails,People also ask,Sitelinks",200
1889,hush baby,us,25,150,0.7,,,,hush little baby nursery rhymes,2020-10-08 18:07:29,"Thumbnails,People also ask",600
1890,white cotton nightgowns old fashioned,us,0,150,1,,,,white cotton nightgown,2020-10-11 14:48:54,"Image pack,Shopping results,Thumbnails",150
1891,milk california,us,43,150,1.6,,,,milk,2020-10-18 17:22:35,"Adwords top,Sitelinks,People also ask,Top stories,Thumbnails",200
1892,words associated with nature,us,7,150,0,,,,nature words,2020-09-20 16:41:39,"People also ask,Image pack",250
1893,west salem school district wi,us,0,150,0,,,,west salem school district,2020-10-04 22:01:19,"Sitelinks,Image pack",150
1894,becky g zooted,us,1,150,,,,,zooted becky g,2020-10-06 06:00:23,"Thumbnails,Image pack",700
1895,what is mocha made of,us,18,150,0,,,,latte vs mocha,2020-09-22 01:37:59,"Featured snippet,Thumbnails,People also ask,Top stories,Image pack",250
1896,goofy girl quotes,us,0,150,0,,,,goofy quotes,2020-10-08 21:12:27,"Featured snippet,Thumbnails",200
1897,key and peele president,us,15,150,0,,,,anger obama,2020-10-09 05:21:28,Image pack,200
1898,food service carts on wheels,us,4,150,8,,,,food service carts on wheels,2020-10-03 00:53:13,"Shopping results,Thumbnails,Adwords top,Image pack,Adwords bottom",150
1899,corazon definicion,us,10,150,0,,,,el corazon humano,2020-10-13 21:03:23,"Knowledge card,Image pack",1800
1900,academy glass,us,0,150,0.7,,,,academy glass,2020-10-07 04:24:08,"Top stories,Thumbnails",200
1901,walnut grove vet,us,1,150,3,,,,walnut grove animal hospital,2020-09-24 09:39:09,Image pack,200
1902,cambridge ma police twitter,us,0,150,0,,,,cambridge police twitter,2020-09-23 18:52:18,"Tweet box,Top stories,Thumbnails,Image pack",150
1903,are bananas man made,us,13,150,0,,,,original banana,2020-09-24 21:07:23,"Featured snippet,Thumbnails,People also ask,Top stories,Image pack",200
1904,therapeutic connections,us,2,150,0,,,,therapeutic connections,2020-09-24 22:09:32,"Adwords top,Image pack",150
1905,walgreens pool floats,us,0,150,0.25,,,,walgreens pool floats,2020-10-03 12:18:03,"People also ask,Image pack",150
1906,trader joe's spiral ham,us,0,150,,,,,trader joe's ham,2020-10-11 23:05:26,"People also ask,Top stories,Thumbnails,Image pack",150
1907,she knows me too well,us,1,150,0,,,,she knows me too well,2020-10-18 02:26:43,"Thumbnails,Sitelinks,Image pack",200
1908,vpn brazil free,us,5,150,1.4,212,1.59,1.13,vpn brazil free,2020-10-13 18:14:45,"Adwords top,Top stories,Thumbnails",250
1909,dorito casserole with ground beef,us,8,150,0.05,,,,dorito casserole,2020-09-26 02:41:39,"Top stories,Thumbnails,Image pack",200
1910,uhaul st cloud fl,us,0,150,3.5,,,,uhaul st cloud fl,2020-10-05 06:57:07,Image pack,150
1911,susan combs,us,15,150,0.2,123,0.73,1.21,susan combes,2020-10-07 00:30:12,"Image pack,Top stories,Thumbnails",250
1912,spazend,us,0,150,0,,,,spazend,2020-10-14 19:13:23,"Sitelinks,Image pack",150
1913,admiralty house,us,8,150,0,,,,admiralty house,2020-10-09 05:45:24,"Knowledge card,Thumbnails,Image pack,Top stories",1400
1914,footers cleaners,us,0,150,4,,,,footers cleaners,2020-10-07 01:31:03,,150
1915,unops careers,us,12,150,0,,,,unops vacancies,2020-09-24 09:40:26,"Sitelinks,People also ask,Image pack",250
1916,houston kress,us,0,150,,,,,houston kress,2020-10-16 19:39:17,"Tweet box,Image pack",150
1917,interior design chattanooga,us,0,150,3.5,,,,interior design chattanooga,2020-09-22 20:09:33,Image pack,150
1918,zillow weston,us,4,150,0.1,,,,houses for sale in weston fl,2020-10-11 20:28:13,Image pack,150
1919,harley davidson drive belt,us,0,150,0.8,,,,harley davidson final drive belt,2020-09-20 16:44:35,"Top stories,Thumbnails,Image pack",200
1920,pottery classes memphis,us,2,150,3,,,,pottery classes,2020-10-03 18:52:58,,150
1921,100 years old birthday,us,13,150,0.35,,,,happy 100 birthday,2020-09-23 20:58:12,"Image pack,People also ask,Top stories,Thumbnails,Shopping results",200
1922,inalienable rights quote,us,64,150,0,50,0.35,1.1,inalienable rights quote,2020-09-27 18:49:46,"Featured snippet,People also ask,Image pack",150
1923,joshua radin today lyrics,us,0,150,0,,,,joshua radin today lyrics,2020-09-27 18:23:13,Image pack,200
1924,belch synonym,us,1,150,0,,,,belch synonym,2020-10-18 08:18:48,"Knowledge card,People also ask,Image pack",200
1925,cretinism is a congenital form of,us,9,150,,,,,cretinism is a congenital form of,2020-10-09 07:08:20,"Featured snippet,People also ask",150
1926,castle rock picture,us,3,150,,,,,castle rock picture,2020-09-26 17:36:14,"Image pack,Top stories,Thumbnails",150
1927,travis bowen,us,0,150,0.1,,,,travis bowen,2020-10-08 10:57:36,"Top stories,Thumbnails",200
1928,bristol hospital tn,us,2,150,0.7,,,,bristol regional medical center,2020-10-16 22:30:55,Sitelinks,150
1929,rv repo auction,us,24,150,0.9,,,,rv auctions,2020-09-21 18:52:02,Adwords bottom,200
1930,she's a lady lyrics forever the sickest,us,0,150,,,,,she's a lady lyrics forever the sickest,2020-09-22 15:58:00,"Top stories,Thumbnails,Image pack",150
1931,v for vendetta release date,us,64,150,0,30,0.18,1.04,v for vendetta,2020-10-14 17:55:21,"People also ask,Sitelinks,Top stories,Thumbnails",200
1932,grain finished beef,us,9,150,0,,,,benefits of grass fed beef,2020-09-24 20:22:44,"Featured snippet,People also ask,Top stories,Thumbnails",150
1933,opentable fort myers,us,1,150,0.15,,,,fort myers restaurants,2020-09-27 10:38:50,Image pack,150
1934,moberly mo hospital,us,0,150,0.35,,,,moberly regional medical center,2020-09-19 00:01:43,"Sitelinks,Image pack",150
1935,mimosine,us,1,150,0.01,99,0.65,1.1,mimosine,2020-10-13 22:36:20,"Featured snippet,Thumbnails",700
1936,center for sight lufkin tx,us,2,150,0,,,,center for sight,2020-10-02 10:04:38,Sitelinks,150
1937,media majors,us,6,150,9,,,,media majors,2020-10-08 23:24:23,"Featured snippet,People also ask",150
1938,the cure news,us,26,150,0,,,,the cure news,2020-10-07 22:57:50,"Top stories,Thumbnails,Image pack",450
1939,pump sushi,us,0,150,0,,,,pump sushi,2020-10-12 18:14:57,"Top stories,Thumbnails,Image pack",150
1940,weddings in greenville sc,us,1,150,1.5,,,,wedding venues greenville sc,2020-09-19 06:14:28,Adwords bottom,150
1941,miramar fish tacos,us,0,150,3,,,,miramar fish tacos,2020-10-08 08:03:46,"Top stories,Thumbnails,Image pack",150
1942,hitachi 32 inch tv,us,0,150,0.6,,,,hitachi 32 inch tv,2020-09-27 17:38:34,"Top stories,Thumbnails,Image pack",400
1943,el camino shirt,us,0,150,0.6,,,,el camino t shirt,2020-09-27 12:49:51,Image pack,150
1944,are crystals minerals,us,35,150,0.01,47,0.3,1.1,crystals,2020-10-09 09:19:07,"Featured snippet,Thumbnails,People also ask,Top stories",200
1945,django update,us,39,150,0,,,,django orm,2020-10-06 18:01:10,"Top stories,Thumbnails",1000
1946,cleveland tn library,us,0,150,0,119,0.92,1.23,cleveland library,2020-10-13 16:35:01,"Sitelinks,Top stories,Thumbnails",150
1947,snickers bar nutrition facts,us,2,150,4.5,64,0.38,1.04,snickers bar nutrition,2020-10-16 14:47:39,People also ask,200
1948,tipping in barcelona,us,0,150,0.05,155,0.95,1.06,tipping in barcelona,2020-10-11 23:45:47,"Featured snippet,Thumbnails,People also ask",600
1949,buick roadmaster estate,us,3,150,0.25,136,1,1.13,buick roadmaster,2020-10-02 16:42:28,"Top stories,Thumbnails,People also ask",200
1950,cat clipart outline,us,0,150,0,,,,cat outline,2020-10-14 05:34:26,Image pack,250
1951,diet analysis software,us,35,150,2.5,,,,diet analysis,2020-10-02 07:18:29,"Adwords top,Featured snippet,People also ask,Top stories,Thumbnails",200
1952,descend upon,us,0,150,0,,,,descend upon,2020-10-12 16:40:01,"Featured snippet,People also ask,Top stories,Thumbnails",200
1953,mackenzie phillips death,us,17,150,0.03,,,,john phillips,2020-10-09 15:48:14,"Featured snippet,Thumbnails,People also ask,Top stories",200
1954,reverse camera mirror,us,6,150,0.5,,,,backup camera mirror,2020-10-09 21:34:04,"Top stories,Thumbnails,Image pack",800
1955,pepe delivery,us,0,150,0.5,,,,pepes delivery,2020-10-08 06:19:39,"Top stories,Thumbnails",500
1956,ott light replacement bulb,us,4,150,,,,,ott light bulbs,2020-09-26 16:07:17,"Shopping results,Thumbnails,People also ask,Top stories,Image pack",150
1957,5/8 barb fitting,us,0,150,,,,,5/8 barb fitting,2020-09-24 07:03:56,"Adwords top,Image pack,Shopping results,Thumbnails",150
1958,how long to broil ribs,us,22,150,0,,,,how to cook ribs,2020-10-11 14:04:42,"Top stories,Thumbnails,People also ask",150
1959,rustic wedding venues in ga,us,0,150,1.6,,,,barn wedding venues in ga,2020-10-15 13:12:46,Image pack,150
1960,angi homeservices inc,us,22,150,,,,,angi homeservices,2020-10-13 18:18:02,"People also ask,Image pack",150
1961,what is a topical analgesic,us,19,150,7,,,,analgesic cream,2020-09-23 13:22:03,People also ask,150
1962,charlotte tilbury makeup review,us,5,150,1.7,,,,charlotte tilbury review,2020-10-14 17:29:02,"People also ask,Top stories,Thumbnails,Sitelinks",250
1963,black bean dinner,us,12,150,0.08,,,,black bean recipes,2020-10-08 04:55:10,"Top stories,Thumbnails,People also ask,Image pack",150
1964,common fleabane,us,0,150,0,,,,common fleabane,2020-10-10 04:47:25,"People also ask,Top stories,Thumbnails",300
1965,european mattress sizes,us,13,150,2.5,104,0.64,1.09,euro king size mattress,2020-10-18 17:00:57,"Featured snippet,Thumbnails,People also ask,Sitelinks",600
1966,rasta tank top,us,0,150,0.4,,,,bob marley tank top,2020-09-25 02:52:03,Image pack,150
1967,hawthorne nj theater,us,1,150,0,,,,hawthorne nj theater,2020-10-14 14:36:50,"Sitelinks,Image pack",150
1968,beckmans pharmacy,us,0,150,,,,,beckmans pharmacy,2020-10-18 04:30:07,Sitelinks,150
1969,suze alcohol,us,4,150,0,,,,suze,2020-09-26 16:25:20,"People also ask,Top stories,Thumbnails,Image pack",200
1970,billy elliot musical cast,us,8,150,1.1,,,,billy elliot,2020-10-10 09:58:33,"People also ask,Top stories,Thumbnails",450
1971,dreamhouse giveaway,us,34,150,1.2,,,,st jude dream home,2020-10-14 07:15:46,"Adwords top,People also ask,Top stories,Thumbnails,Image pack",150
1972,why was virginia’s house of burgesses significant?,us,8,150,,,,,house of burgesses,2020-10-15 15:34:51,"Featured snippet,People also ask",150
1973,village realty corolla nc,us,12,150,0.4,,,,village realty corolla,2020-10-10 15:49:35,"Top stories,Thumbnails",150
1974,where can emotional support dogs go,us,36,150,3,,,,emotional support animal hotel laws,2020-10-09 23:29:03,"Featured snippet,Thumbnails,People also ask,Adwords bottom",150
1975,heather gottlieb,us,0,150,0,59,0.36,1.04,heather gottleib,2020-09-23 20:05:10,Image pack,200
1976,elmore leonard novel,us,26,150,0,,,,elmore leonard,2020-10-17 02:58:52,"Sitelinks,People also ask",150
1977,angelina jolie kids names,us,33,150,0,,,,angelina jolie kid names,2020-09-26 07:32:21,"People also ask,Top stories,Thumbnails",450
1978,28mm f2,us,11,150,0.7,77,0.52,1,sony 28mm f2,2020-09-22 16:57:18,"Top stories,Thumbnails,Image pack",500
1979,carbona cleaners,us,8,150,0.4,,,,carbona,2020-10-16 19:11:54,"Sitelinks,Image pack,Adwords bottom",150
1980,blossom homes,us,0,150,3.5,,,,blossom homes,2020-10-08 12:42:44,"Top stories,Thumbnails",200
1981,mobile furniture,us,26,150,2,,,,town and country furniture,2020-09-26 05:29:12,"Image pack,Shopping results,Thumbnails",400
1982,wifi cube,us,10,150,2.5,,,,wifi cube,2020-10-12 20:05:20,"Featured snippet,Top stories,Thumbnails,Adwords bottom",350
1983,laguna art a fair,us,9,150,0,,,,laguna art a fair,2020-09-26 09:07:30,"Sitelinks,Image pack,Top stories,Thumbnails",150
1984,the wine pub,us,10,150,0,,,,the wine pub,2020-10-06 10:42:54,Sitelinks,300
1985,grub and groove,us,0,150,,,,,grub and groove,2020-10-14 09:43:55,"Top stories,Thumbnails,Image pack",150
1986,zero coupon bond prices,us,57,150,2,,,,zero coupon bond,2020-10-04 07:21:44,"Adwords top,People also ask,Top stories,Thumbnails,Image pack,Adwords bottom",200
1987,best buy iphone 7 verizon,us,10,150,1.4,,,,best buy verizon iphone 7,2020-09-25 23:32:31,"People also ask,Image pack,Shopping results,Thumbnails",150
1988,my blinds home depot,us,3,150,1.6,,,,my blinds,2020-10-08 21:59:56,"Top stories,Thumbnails,Image pack",150
1989,landscaping manchester nh,us,3,150,5,,,,giant landscaping,2020-09-25 08:21:51,"Top stories,Thumbnails,Image pack",200
1990,delta 6 professional jointer,us,0,150,0.5,,,,delta 6 joiner,2020-09-19 08:31:39,"Image pack,Top stories,Thumbnails",150
1991,qm mortgage,us,22,150,7,,,,qualified mortgage rules,2020-10-11 22:26:32,"Adwords top,Featured snippet,People also ask,Top stories,Thumbnails",150
1992,khasi ko masu,us,0,150,0,79,0.5,1.16,khasi ko masu,2020-09-27 08:01:44,"Top stories,Thumbnails,Image pack",300
1993,funny toolbox stickers,us,0,150,0.09,,,,tool box sticker,2020-10-08 01:45:03,Image pack,200
1994,yellow jacket fogger,us,0,150,0.6,,,,yellow jacket fogger,2020-10-11 12:52:47,"People also ask,Top stories,Thumbnails,Image pack",150
