#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
1472,consider the lobster david foster wallace,us,27,500,0,481,0.99,1.18,consider the lobster,2020-10-14 16:14:25,"People also ask,Top stories,Thumbnails",500
1473,modern marine,us,5,500,0.45,283,0.55,1.78,modern marine,2020-10-14 16:52:41,"Sitelinks,Top stories,Thumbnails,Image pack",500
1474,viñales,us,24,500,0,158,0.32,1.11,vinales cuba,2020-10-09 10:06:24,"Top stories,Thumbnails,Image pack,People also ask,Tweet box",5800
1475,how to vogue,us,2,500,0,408,0.84,1.11,how to vogue,2020-10-03 16:42:07,"Featured snippet,Thumbnails,People also ask,Image pack",800
1476,dial up connection,us,11,500,0.09,189,0.35,1.17,dial up internet,2020-10-16 14:43:58,"Featured snippet,Thumbnails,People also ask,Sitelinks",4400
1477,secretary of state business name search,us,77,500,3.5,460,0.93,1.22,california business search,2020-10-11 19:17:53,"Top stories,Thumbnails,Adwords bottom",500
1478,verizon twin falls,us,0,500,1.7,136,0.27,1.36,verizon twin falls idaho,2020-10-17 17:55:21,,500
1479,quick dinners for two,us,41,500,1.8,543,1.08,1.16,dinner ideas for two,2020-10-18 04:39:37,"Top stories,Thumbnails,Sitelinks,People also ask,Image pack",800
1480,boyd rutherford,us,10,500,0,326,0.68,1.16,boyd rutherford,2020-10-16 14:19:19,"Sitelinks,Tweet box,Image pack",500
1481,cardinal storage,us,3,500,8,357,0.67,1.46,cardinal storage,2020-10-14 05:08:11,"Sitelinks,Top stories,Thumbnails",500
1482,grumpy old men outtakes,us,1,500,0,199,0.41,1.14,grumpy old men outtakes,2020-10-16 08:30:27,Image pack,500
1483,usda loans ohio,us,3,450,4,663,1.41,1.3,usda home loans ohio,2020-09-30 02:33:52,"People also ask,Image pack",450
1484,stardew valley comic,us,0,450,0,447,0.95,1.76,stardew valley comics,2020-10-04 16:39:04,,500
1485,montgomery palm,us,0,450,0.1,267,0.61,1.3,montgomery palm,2020-09-23 01:08:45,People also ask,450
1486,phys 102 uiuc,us,0,450,,,,,physics 102,2020-09-30 12:40:23,Image pack,450
1487,what is an acetal,us,4,450,0.04,118,0.25,1.18,acetal,2020-10-14 10:08:37,"People also ask,Top stories,Thumbnails",600
1488,mobile county public school calendar,us,8,450,1.9,411,0.94,1.16,mcpss calendar,2020-09-22 04:21:12,"Tweet box,Image pack",450
1489,brandon slater,us,0,450,0.25,512,1.15,1.46,brandon slater,2020-10-09 19:03:57,"Top stories,Thumbnails,Image pack",450
1490,menards richfield mn,us,0,450,0.1,,,,menards richfield,2020-10-15 17:20:32,,450
1491,gamestop toledo,us,0,450,0.15,186,0.41,1.54,gamestop toledo ohio,2020-10-11 20:35:51,,450
1492,fireplace lighter,us,0,450,1,332,0.73,1.06,grill lighter,2020-10-12 18:02:26,"Image pack,Top stories,Thumbnails",500
1493,audio tools,us,37,450,3.5,428,0.91,1.17,audiotool,2020-10-13 16:18:36,"Top stories,Thumbnails",1100
1494,ramen noodles meme,us,0,450,0,136,0.31,1.19,ramen meme,2020-10-04 05:05:26,,450
1495,farmall h for sale,us,1,450,0.2,635,1.4,1.43,farmall h for sale,2020-09-21 14:18:34,"People also ask,Top stories,Thumbnails,Image pack",450
1496,put your foot down,us,0,450,0,119,0.25,1.08,put foot down,2020-10-09 21:27:02,"Knowledge card,People also ask,Top stories,Thumbnails,Image pack",1300
1497,dire straits water of love,us,1,450,0,302,0.67,1.13,waters love,2020-09-27 18:04:40,Thumbnails,1300
1498,body after death stages,us,37,450,0.4,224,0.51,1.13,stages of decomposition,2020-10-02 09:11:05,"Featured snippet,People also ask,Top stories,Thumbnails",700
1499,magic cushion,us,0,450,0.7,353,0.75,1.18,magic cushion,2020-10-01 13:29:28,"Adwords top,Featured snippet,People also ask,Top stories,Thumbnails",1900
1500,denver sea level,us,14,450,0,118,0.25,1.05,denver altitude,2020-10-03 12:08:14,"Featured snippet,People also ask,Top stories,Thumbnails,Image pack",500
1501,king and country band,us,25,450,0.3,332,0.74,1.18,for king and country,2020-10-14 03:38:04,"Top stories,Thumbnails,People also ask,Tweet box",600
1502,pan fried sirloin steak,us,23,450,0.09,508,1.08,1.2,pan seared steak,2020-10-18 14:56:52,"Top stories,Thumbnails,People also ask,Image pack",600
1503,kctv5 weather radar,us,13,450,0.25,467,1.05,1.69,kctv5 radar,2020-10-12 18:13:16,"Top stories,Thumbnails",450
1504,auto detailing austin,us,12,450,3.5,203,0.47,1.75,car detailing austin tx,2020-10-08 22:39:31,"Top stories,Thumbnails",450
1505,elton john albums ranked,us,9,450,0,601,1.37,1.3,best elton john albums,2020-10-16 13:51:21,Image pack,800
1506,le laboureur,us,2,450,0.1,590,1.29,1.31,lelaboureur,2020-10-12 23:24:30,"Image pack,Top stories,Thumbnails",5700
1507,bess wohl,us,11,450,0.5,261,0.6,1.22,bess wohl,2020-10-13 23:18:57,"Top stories,Thumbnails",600
1508,patterson place apartments,us,2,450,0.45,414,0.88,1.47,patterson place apartments,2020-10-17 07:22:54,"Sitelinks,Image pack,Adwords bottom",500
1509,abcb rhyme scheme,us,17,450,0,277,0.64,1.12,abcb rhyme scheme,2020-10-17 03:14:52,"Featured snippet,People also ask,Image pack",700
1510,richards honda baton rouge,us,12,450,2,247,0.57,1.89,richards honda,2020-10-07 19:57:01,"Sitelinks,Top stories,Thumbnails,Image pack,Adwords bottom",450
1511,aldi interview questions,us,6,450,0.4,668,1.42,1.24,aldi interview,2020-10-15 13:31:12,"People also ask,Sitelinks,Top stories,Thumbnails,Image pack",1200
1512,haix fire boots,us,6,450,1.2,324,0.7,1.19,hiax fire boots,2020-10-18 08:25:56,"Sitelinks,Image pack",500
1513,mark 9 commentary,us,5,450,1.6,603,1.33,1.38,mark 9 commentary,2020-10-02 06:22:10,"People also ask,Top stories,Thumbnails",500
1514,lone star shooting range,us,7,450,0,291,0.62,1.53,lone star gun range,2020-10-09 04:13:18,"Top stories,Thumbnails,Image pack",600
1515,simply southern stickers,us,1,450,0.45,236,0.54,1.15,simply southern stickers,2020-10-13 22:04:37,"People also ask,Image pack",450
1516,cat drinks,us,22,450,0.8,,,,can cats drink apple juice,2020-09-29 17:28:28,"Featured snippet,Thumbnails,People also ask,Top stories",450
1517,coconut cheese,us,2,450,0.3,263,0.6,1.23,vegan cheese,2020-10-16 15:16:32,"Sitelinks,People also ask,Top stories,Thumbnails,Image pack",1100
1518,yoga websites,us,26,450,4.5,445,0.98,1.11,yoga websites,2020-10-16 23:45:45,"Featured snippet,Thumbnails,Sitelinks",1400
1519,toys for big boys,us,7,450,1,400,0.85,1.53,toys for big boys,2020-10-16 17:20:41,"Sitelinks,Image pack",2100
1520,the occidental observer,us,17,450,0,455,1.04,2.17,occidental observer,2020-10-05 14:48:23,Sitelinks,800
1521,bridgton maine zip code,us,0,450,0,85,0.19,1.37,zip code bridgton maine,2020-09-30 03:16:44,People also ask,450
1522,ira group,us,53,450,3,235,0.5,1.06,irish republican army,2020-10-09 07:36:15,"Sitelinks,People also ask",500
1523,tian jin,us,0,450,0,129,0.29,1.33,tianjin,2020-10-11 11:19:13,"People also ask,Image pack",1400
1524,michelin star restaurants orlando,us,7,450,2,456,1.05,1.22,michelin star restaurants orlando,2020-10-11 12:57:04,People also ask,450
1525,it team,us,8,450,0,121,0.28,1.15,it team,2020-10-17 16:46:00,"People also ask,Sitelinks,Image pack",2000
1526,mamma knows best,us,19,450,0,203,0.43,1.09,mamma knows best,2020-10-03 06:22:59,Thumbnails,2500
1527,millimeter to nanometer,us,0,450,,78,0.18,1.18,mm to nm,2020-10-14 14:12:49,"Knowledge card,People also ask,Top stories,Thumbnails",500
1528,jack ryan bioshock,us,11,450,0,262,0.59,1.18,bioshock jack,2020-10-14 14:44:17,"Sitelinks,Featured snippet,People also ask,Top stories,Thumbnails",700
1529,the future of us,us,4,450,0.7,244,0.52,1.1,the future of us,2020-10-05 09:50:31,"Image pack,Top stories,Thumbnails",1500
1530,i gave my social security number to a scammer,us,50,450,4,405,0.9,1.13,www.identitytheft.gov/ssa,2020-10-14 05:42:05,"Adwords top,Featured snippet,People also ask,Top stories,Thumbnails,Image pack",450
1531,barney and friends video,us,11,450,0.7,,,,barney and friends video,2020-10-09 00:31:03,,900
1532,butter chicken recipe sanjeev kapoor,us,1,450,,431,0.95,1.23,butter chicken recipe sanjeev kapoor,2020-10-14 20:42:45,Featured snippet,2100
1533,itsy bitsy yellow polka dot bikini,us,11,450,0.15,296,0.63,1.2,yellow polka dot bikini,2020-10-16 09:12:17,"Thumbnails,Sitelinks,Image pack",700
1534,cranberry oatmeal bars,us,11,450,0.1,438,1,1.2,cranberry oatmeal bars,2020-10-11 22:02:36,"Top stories,Thumbnails,Image pack",500
1535,quality inn charlotte nc,us,2,450,1.2,282,0.6,1.27,quality inn charlotte nc,2020-10-17 10:02:17,Image pack,500
1536,list of developmental disabilities,us,36,450,2,395,0.87,1.13,developmental disabilities,2020-10-05 14:07:33,"Featured snippet,Thumbnails,People also ask",600
1537,ernesto de la cruz costume,us,0,450,,,,,ernesto de la cruz costume,2020-10-12 17:54:19,"Image pack,Top stories,Thumbnails",450
1538,abby on the ranch,us,4,450,0,234,0.55,1.11,abby the ranch,2020-10-14 19:40:35,"People also ask,Sitelinks",450
1539,frigidaire heating element,us,3,450,1,149,0.34,1.12,131553900,2020-10-08 07:53:48,"Top stories,Thumbnails,People also ask",450
1540,just flip tcg,us,0,450,0,417,0.89,1.54,justfliptcg,2020-10-07 11:01:10,Image pack,450
1541,braydon,us,5,450,0,92,0.21,1.06,braydon name meaning,2020-10-04 21:08:09,"People also ask,Top stories,Thumbnails,Image pack",700
1542,when does the rockefeller tree go up,us,31,450,0.6,212,0.45,1.14,rockefeller tree lighting,2020-09-26 05:16:37,"Featured snippet,Thumbnails,Top stories",500
1543,replogle tube,us,0,450,0.01,113,0.25,1.39,replogle,2020-10-03 08:46:14,Image pack,700
1544,american angler electric fillet knife,us,1,450,0.3,625,1.33,1.32,american angler electric fillet knife,2020-10-05 03:24:50,"Top stories,Thumbnails,Image pack,Shopping results",500
1545,clothespin clipart,us,0,450,0,134,0.29,1.17,clothes pin clipart,2020-10-04 16:45:20,"Image pack,Adwords bottom",500
1546,munchkin rick and morty,us,1,450,,403,0.88,1.16,rick and morty munchkin,2020-10-06 11:43:09,"Top stories,Thumbnails,Image pack",1300
1547,angostura bitters where to buy,us,7,450,0.35,146,0.31,1.05,angostura bitters,2020-10-02 21:28:48,People also ask,800
1548,rite aid alhambra,us,0,450,1.7,144,0.33,1.21,rite aid alhambra,2020-10-02 21:09:57,Image pack,450
1549,nicole wolf,us,7,450,0.3,195,0.43,1.17,nicole wolf,2020-10-14 19:42:15,"Sitelinks,Top stories,Thumbnails",1400
1550,yellowstone cafe,us,0,450,0.09,331,0.73,1.19,yellowstone cafe,2020-10-03 11:36:22,,450
1551,danvers police,us,3,450,0.01,309,0.68,1.37,danvers police,2020-10-14 15:27:18,"Sitelinks,Tweet box,Top stories,Thumbnails,Image pack",500
1552,mendenhall high school,us,0,450,0.01,225,0.52,2.09,mendenhall high school,2020-09-27 22:57:46,"Sitelinks,Top stories,Thumbnails,Image pack",450
1553,loretta devine movies and tv shows,us,3,450,0,27,0.06,1.13,loretta devine movies,2020-10-05 00:37:35,"People also ask,Top stories,Thumbnails",600
1554,haddaway what is love lyrics,us,2,450,0,146,0.31,1.2,what is love lyrics,2020-10-12 22:15:43,"Top stories,Thumbnails",1400
1555,space tree,us,12,450,0,167,0.37,1.13,cs tree,2020-10-05 11:46:35,"Image pack,Top stories,Thumbnails",700
1556,encapsulation programming,us,22,450,0,320,0.73,1.24,what is encapsulation,2020-10-16 09:55:42,"Featured snippet,Thumbnails,People also ask",700
1557,mega millions number generator,us,19,450,0.6,650,1.38,1.25,lottery number generator,2020-10-12 16:05:13,"Top stories,Thumbnails",500
1558,lina abujamra,us,0,450,0.7,309,0.7,1.23,lina abujamra,2020-10-05 00:31:38,"Tweet box,Top stories,Thumbnails,Adwords bottom",500
1559,965 country code,us,6,450,0,82,0.18,1.41,965 area code,2020-10-16 15:38:21,Featured snippet,4500
1560,expressvpn account,us,34,450,0.8,394,0.85,1.34,expressvpn account,2020-09-26 10:47:11,"People also ask,Tweet box,Top stories,Thumbnails",800
1561,how to make a ramp,us,13,450,1,241,0.53,1.15,how to build a ramp,2020-09-29 22:33:04,"Featured snippet,Thumbnails,People also ask,Top stories,Image pack",600
1562,stuck in a moment u2,us,11,450,0,262,0.6,1.37,stuck in a moment u2,2020-10-08 07:26:21,Thumbnails,900
1563,oobi episodes,us,0,450,0,402,0.88,3.62,oobi episodes,2020-10-15 09:59:42,Sitelinks,450
1564,sulfonamide drugs,us,25,450,5,315,0.67,1.22,sulfonamides,2020-10-16 22:17:56,"Featured snippet,Thumbnails,People also ask,Sitelinks",700
1565,how to embed a pdf in an email,us,2,450,3,334,0.74,1.1,how to embed a pdf in an email,2020-10-20 12:04:13,Featured snippet,450
1566,mbb meaning,us,15,450,,175,0.4,1.05,mbb meaning,2020-10-19 03:31:07,"Featured snippet,Thumbnails,People also ask",600
1567,iphone 10 battery life,us,46,450,,232,0.53,1.03,iphone battery drain,2020-09-20 08:03:13,"Featured snippet,People also ask,Top stories,Thumbnails",450
1568,hanging sayori,us,0,450,,116,0.27,1.38,sayori hanging,2020-10-02 07:22:37,People also ask,600
1569,loom machine,us,12,450,0.45,180,0.42,1.06,power loom,2020-10-16 18:42:12,"Featured snippet,People also ask,Sitelinks",1100
1570,chico power equipment,us,0,450,0.4,322,0.69,1.44,chico power equipment,2020-10-19 15:43:51,"Sitelinks,Image pack",450
1571,careering,us,1,450,0.6,118,0.27,1.08,careering,2020-10-17 07:42:40,"Knowledge card,People also ask",1700
1572,baby name search,us,67,450,0.7,525,1.2,1.16,name meanings,2020-10-16 23:02:08,Sitelinks,700
1573,1957 pontiac chieftain,us,1,450,0.1,239,0.51,1.54,1955 pontiac cheiftain,2020-10-06 12:23:22,"Image pack,Top stories,Thumbnails",500
1574,log splitter for sale craigslist,us,0,450,0.6,381,0.81,1.13,log splitters craigslist,2020-10-04 20:41:24,Image pack,500
1575,waraii sushi,us,0,450,0,380,0.88,1.71,waraii sushi,2020-10-16 03:29:28,Image pack,450
1576,does hawaii have daylight savings time,us,16,450,0,129,0.29,1.13,hawaii daylight savings,2020-10-10 11:28:33,"Featured snippet,People also ask",500
1577,bibble and sip nyc,us,4,450,0,326,0.69,1.16,bibble and sip,2020-10-17 15:22:44,"Sitelinks,Top stories,Thumbnails,Image pack",500
1578,can a 1099 employee collect unemployment in california,us,36,450,,,,,can self employed people collect unemployment,2020-10-18 09:39:27,"Featured snippet,People also ask",450
1579,ram promaster 4x4,us,3,450,4.5,447,0.95,1.19,ram promaster,2020-10-20 02:59:56,"Sitelinks,People also ask,Image pack",600
1580,columbus zoo lights hours,us,38,450,0,310,0.69,1.21,columbus zoo lights,2020-10-17 14:14:47,"Featured snippet,People also ask,Image pack",450
1581,only natural lake in texas,us,1,450,0,182,0.4,1.27,natural lakes in texas,2020-10-14 14:42:26,"Featured snippet,People also ask,Top stories,Thumbnails",450
1582,samsung washer ue code,us,1,450,0.09,132,0.28,1.43,samsung washer not spinning,2020-10-14 14:09:04,"Featured snippet,Thumbnails,People also ask,Top stories",500
1583,the muppets at walt disney world,us,7,450,2.5,359,0.8,2.18,the muppets at walt disney world,2020-10-13 18:54:45,"People also ask,Adwords bottom",500
1584,paint rims black professionally,us,11,450,,182,0.4,1.23,wheel paint,2020-10-19 19:56:47,"Featured snippet,Thumbnails,People also ask,Sitelinks,Image pack,Adwords bottom",600
1585,photoshoot price,us,22,450,2.5,,,,photoshoots prices,2020-10-06 22:14:11,"Featured snippet,Top stories,Thumbnails",450
1586,135 degrees,us,0,450,0,88,0.19,1.08,135 degrees,2020-10-06 12:50:18,"Knowledge card,Image pack,People also ask,Top stories,Thumbnails",700
1587,sumotech,us,2,450,0.7,504,1.11,1.1,sumotech,2020-10-02 17:52:29,"Shopping results,Thumbnails,Top stories,Image pack",700
1588,fancy feast walmart,us,2,450,1.4,345,0.8,1.11,fancy feast walmart,2020-10-03 20:09:40,"Adwords top,People also ask,Image pack,Shopping results,Thumbnails",450
1589,naturade total soy,us,2,450,0.35,564,1.2,1.24,naturade total soy,2020-10-11 04:43:36,Image pack,500
1590,canton road garden center,us,1,450,7,320,0.73,1.31,canton nursery,2020-10-16 00:43:43,Sitelinks,450
1591,bdt obits,us,14,450,0.45,,,,bdtonline obits,2020-10-05 04:32:53,"Sitelinks,Image pack",450
1592,richa jackson,us,0,450,0,146,0.31,1.08,richa jackson,2020-10-04 21:06:50,"Image pack,Top stories,Thumbnails",500
1593,what is a gibbon,us,34,450,0,91,0.2,1.1,gibbons,2020-10-15 14:25:30,"Sitelinks,People also ask,Top stories,Thumbnails",600
1594,rei ski helmets,us,0,450,0.45,463,1.02,1.07,ski helmet,2020-09-26 12:05:36,Sitelinks,500
1595,hardwick house of pizza,us,0,450,,302,0.69,1.73,hardwick house of pizza,2020-10-12 00:04:20,Image pack,450
1596,80s guitar,us,1,450,0.3,136,0.31,1.26,80s guitars,2020-10-03 13:42:37,"Image pack,Top stories,Thumbnails",500
1597,dayton audio b652-air,us,10,450,,658,1.4,1.33,dayton audio b652-air,2020-10-07 19:32:16,"Top stories,Thumbnails,Image pack",600
1598,cooper clubman,us,13,450,2,216,0.46,1.05,mini cooper clubman,2020-10-16 23:30:22,"Adwords top,People also ask,Sitelinks",1300
1599,bgenergy,us,0,450,5,424,0.97,1.84,bluegrass energy,2020-10-02 04:26:15,Sitelinks,450
1600,temp in springfield mo,us,3,450,,,,,springfield mo weather,2020-10-20 09:05:57,Knowledge card,450
1601,toyota sienna all wheel drive,us,44,450,4,381,0.84,1.16,toyota sienna,2020-10-17 04:55:56,"Adwords top,Sitelinks,People also ask,Top stories,Thumbnails,Image pack",500
1602,jhbix,us,6,450,,152,0.34,2.55,john hancock bond fund,2020-10-06 15:24:18,"Knowledge card,Image pack",450
1603,chords that go together,us,1,450,7,406,0.9,1.23,chords that go together,2020-10-02 05:25:52,"Featured snippet,Thumbnails,People also ask,Top stories",600
1604,lake alvin,us,1,450,0,265,0.6,1.31,lake alvin,2020-09-27 11:17:47,"People also ask,Image pack,Top stories,Thumbnails",450
1605,me and my girls lyrics,us,0,450,0,127,0.29,1.09,me and my girls fifth harmony lyrics,2020-10-11 18:17:56,"Top stories,Thumbnails",1400
1606,abdel,us,22,450,0,98,0.22,1.09,abdel,2020-10-14 18:19:42,"Sitelinks,Top stories,Thumbnails,Image pack",7700
1607,ytx7l bs,us,1,450,0.6,,,,ytx7l-bs,2020-10-20 10:56:26,,1100
1608,south korea life expectancy,us,3,450,0,127,0.29,1.12,korean life expectancy,2020-10-17 03:14:18,"Knowledge card,People also ask,Sitelinks",900
1609,amazon used very good,us,18,450,0.9,548,1.17,1.06,amazon condition guidelines,2020-10-12 16:10:43,"People also ask,Top stories,Thumbnails,Image pack",500
1610,holiday inn mansfield ma,us,0,450,1.3,291,0.62,1.34,holiday inn mansfield massachusetts,2020-10-16 22:09:38,"Top stories,Thumbnails,Image pack,Adwords bottom",500
1611,rare foods,us,15,450,,197,0.45,1.15,rare foods,2020-09-25 22:56:54,"People also ask,Image pack,Top stories,Thumbnails",500
1612,age management,us,18,450,1.1,311,0.71,1.3,age management center,2020-10-15 17:30:28,"Sitelinks,Image pack",1000
1613,restavek,us,15,450,1.3,199,0.42,1.23,hati children,2020-10-16 13:40:37,"Sitelinks,People also ask,Image pack",800
1614,roblox restaurant tycoon 2 codes,us,22,450,,541,1.23,1.3,restaurant tycoon 2 codes,2020-10-11 18:48:13,"Featured snippet,People also ask,Top stories,Thumbnails",800
1615,eater 38 atlanta,us,24,450,0,442,1.01,1.3,best restaurants in atlanta,2020-10-03 12:44:38,,450
1616,patient first chantilly,us,0,450,2.5,188,0.4,1.24,patient first chantilly,2020-10-09 00:53:23,Image pack,450
1617,monk temple,us,18,450,0.03,155,0.33,1.27,shaolin monks,2020-10-19 10:49:52,"Image pack,People also ask,Sitelinks",700
1618,paribas open,us,39,450,0.6,271,0.58,1.61,indian wells,2020-10-13 05:00:58,"Sitelinks,People also ask,Top stories,Thumbnails",1400
1619,hotels near long beach airport,us,1,450,3,277,0.59,1.34,hotels near long beach ca airport,2020-10-02 13:02:53,Image pack,500
1620,kardon atlantic,us,0,450,0.15,420,0.96,1.43,kardon atlantic,2020-10-08 07:24:10,,450
1621,sam stanley,us,0,450,0.15,332,0.7,1.27,sam stanley,2020-10-11 21:19:45,"Top stories,Thumbnails",1500
1622,smartphone market share us,us,51,450,3,579,1.3,1.28,iphone market share,2020-10-16 21:46:14,People also ask,500
1623,brast,us,0,450,0.03,136,0.29,1.13,brast,2020-09-26 00:02:42,"People also ask,Top stories,Thumbnails,Image pack",6500
1624,how to cough up phlegm,us,45,450,0.6,414,0.88,1.31,phlegm,2020-10-02 06:03:11,People also ask,1200
1625,sunset kia auburn,us,0,450,,351,0.74,1.83,sunset kia,2020-10-08 02:36:49,"Sitelinks,Top stories,Thumbnails,Image pack",450
1626,lax to yerevan,us,0,450,2,195,0.44,2.27,lax to evn,2020-10-11 05:54:15,,450
1627,botas de avestruz cuadra,us,0,450,0.35,,,,botas de avestruz cuadra,2020-09-20 20:03:53,"Image pack,Top stories,Thumbnails",600
1628,1982 in film,us,14,450,0,333,0.76,1.17,1982 movies,2020-09-22 05:37:03,"Sitelinks,Top stories,Thumbnails,Image pack",600
1629,thai mango menu,us,0,450,0.8,437,1,1.33,thai mango,2020-10-10 14:12:39,Image pack,500
1630,old school graffiti,us,0,450,0,117,0.27,1.54,old school graffiti,2020-10-02 02:08:00,"Image pack,Top stories,Thumbnails",1200
1631,amino acids for weight loss,us,8,450,1.1,527,1.12,1.19,best amino acids for weight loss,2020-10-04 04:46:15,"Featured snippet,People also ask",700
1632,pinnacle hotels vancouver,us,24,450,2.5,,,,pinnacle hotel harbourfront,2020-10-07 16:41:51,"Top stories,Thumbnails,Image pack,Adwords bottom",450
1633,family cookbook project,us,18,450,0.8,417,0.92,1.31,familycookbookproject,2020-10-05 12:20:19,"Adwords top,Sitelinks,Image pack",500
1634,how old is clementine,us,4,450,0,316,0.67,1.07,how old is clementine in season 4,2020-10-16 14:45:26,"Featured snippet,People also ask,Sitelinks",600
1635,major cities in kentucky,us,4,450,0,132,0.29,1.08,cities in kentucky,2020-10-12 22:24:31,People also ask,450
1636,how to eat muesli,us,14,450,0,311,0.69,1.07,how to eat muesli,2020-10-18 18:32:14,"People also ask,Top stories,Thumbnails",1900
1637,80 divided by 16,us,0,450,0,47,0.1,1.03,16 divided by 80,2020-10-14 15:16:38,Knowledge card,600
1638,heavy duty 10x10 replacement canopy,us,3,450,,431,0.95,1.43,heavy duty 10x10 replacement canopy,2020-10-09 18:55:13,"People also ask,Image pack",450
1639,tcp/ip illustrated,us,6,450,,341,0.78,1.06,tcp/ip illustrated,2020-10-17 17:07:24,People also ask,1000
1640,1971 cadillac coupe deville,us,0,450,0.1,130,0.28,1.23,1971 caddilac,2020-10-16 18:47:53,"Image pack,Sitelinks",500
1641,new alliances,us,19,450,,,,,new alliances,2020-10-08 12:45:10,People also ask,450
1642,futuristic plane,us,21,450,,132,0.29,1.23,futuristic jets,2020-09-27 16:57:50,Image pack,700
1643,samsung s20 5g price,us,48,450,,,,,s@20,2020-10-17 11:56:14,"People also ask,Sitelinks",700
1644,how to make your bitmoji look like you,us,9,450,0.05,353,0.75,1.21,how to change bitmoji skin color,2020-09-27 18:16:43,"Featured snippet,Thumbnails,People also ask,Top stories",700
1645,craigslist antelope valley ca,us,6,450,1.6,472,1.04,2.13,craigslist antelope valley,2020-10-07 18:06:24,Sitelinks,450
1646,carotid artery occlusion,us,2,450,0.5,201,0.43,1.3,carotid artery occlusion,2020-10-03 08:23:37,"Featured snippet,Thumbnails,People also ask,Image pack",600
1647,ureteroneocystostomy,us,0,450,0,127,0.27,1.12,ureteroneocystostomy,2020-10-10 13:00:22,"Featured snippet,Thumbnails,People also ask,Image pack",800
1648,atlantic community college,us,9,450,6,416,0.95,1.39,atlantic cape community college,2020-10-10 14:26:51,"Sitelinks,Top stories,Thumbnails",450
1649,motivation articles,us,24,450,2.5,454,1,1.11,motivation,2020-10-05 19:03:41,,900
1650,im praying for you,us,0,450,0,104,0.23,1.2,im praying for you,2020-10-01 18:43:17,"Thumbnails,Image pack,People also ask",500
1651,1969 jaguar xke,us,3,450,6,277,0.61,1.12,1969 jag xke,2020-10-14 18:08:11,"Adwords top,Image pack,People also ask,Sitelinks,Top stories,Thumbnails",500
1652,denver drivers license office,us,7,450,0.45,357,0.76,1.35,colorado dmv locations,2020-10-17 04:21:09,People also ask,500
1653,electrolux stackable washer and dryer,us,8,450,3,575,1.22,1.21,electrolux stackable washer and dryer,2020-10-07 22:14:04,"People also ask,Top stories,Thumbnails,Adwords bottom,Shopping results",500
1654,shelf vs shelve,us,5,450,0,197,0.42,1.14,shelve vs shelf,2020-09-25 21:16:02,"Featured snippet,Thumbnails,People also ask",500
1655,anthony coleman,us,6,450,0.4,206,0.47,1.02,anthony coleman,2020-10-01 18:09:23,"Image pack,Top stories,Thumbnails",600
1656,bayside market miami,us,22,450,2,194,0.41,1.31,bayside marketplace,2020-10-02 20:10:20,"People also ask,Top stories,Thumbnails",500
1657,how to reset wii remote,us,5,450,0.03,132,0.28,1.39,how to sync wii remote,2020-10-05 11:23:16,"Featured snippet,Thumbnails,People also ask,Top stories",500
1658,double eleven,us,12,450,0,250,0.58,1.17,double eleven,2020-10-11 15:51:21,"Top stories,Thumbnails",2000
1659,archie comics online,us,14,450,2,526,1.15,1.1,read archie comics online,2020-10-15 00:15:05,"Sitelinks,People also ask,Image pack,Top stories,Thumbnails",1800
1660,can you trademark a phrase,us,4,450,8,292,0.64,1.06,trademark,2020-10-10 05:30:50,"Adwords top,Featured snippet,People also ask,Top stories,Thumbnails",500
1661,wine palette,us,22,450,1,150,0.32,1.03,wine pallet,2020-09-25 01:47:28,"People also ask,Image pack,Top stories,Thumbnails",600
1662,jinhua ham,us,6,450,0.15,332,0.74,1.05,jin hua,2020-10-07 21:23:05,"Top stories,Thumbnails,People also ask",700
1663,hyatt place round rock,us,0,450,,263,0.6,1.41,hyatt place austin/round rock,2020-10-04 09:29:25,Image pack,450
1664,champions league real madrid,us,4,450,0.35,154,0.34,1.15,real madrid,2020-10-02 16:58:01,"Featured snippet,Top stories,Thumbnails,People also ask,Adwords bottom",3000
1665,dermatology murfreesboro tn,us,7,450,1.8,,,,dermatology murfreesboro tn,2020-10-05 14:34:17,Image pack,450
1666,patagonia strider pro,us,1,450,0.7,458,0.98,1.11,patagonia strider pro,2020-10-17 04:12:31,Image pack,500
1667,preston view,us,5,450,0.9,348,0.74,1.8,preston view apartments,2020-10-17 13:10:52,"Adwords top,Sitelinks",500
1668,manufactured homes albany oregon,us,9,450,1.8,462,1.02,1.35,manufactured homes albany oregon,2020-10-17 07:51:51,Sitelinks,450
1669,national health service uk,us,78,450,2,384,0.86,1.08,nhs,2020-10-06 19:06:13,People also ask,1300
1670,argentina landmarks,us,4,450,0.2,188,0.4,1.06,famous landmarks in argentina,2020-10-16 23:36:19,"People also ask,Image pack",800
1671,life support system,us,19,450,0.08,170,0.36,1.17,life-support systems,2020-10-03 06:44:33,"Featured snippet,People also ask,Image pack",3000
1672,pantene shampoo ingredients,us,5,450,1.8,224,0.52,1.08,pantene yellow,2020-10-16 07:40:17,"Featured snippet,Thumbnails,People also ask,Image pack,Top stories",900
1673,child protective services maryland,us,1,450,2,318,0.7,1.39,cps baltimore city,2020-09-26 08:50:12,"Featured snippet,Sitelinks,People also ask",450
